lyric,class
I gotta tell them to myself,1
"I get dome with the chrome, no tellin' when I'ma shoot",0
"Even Captain Hook, you are my perfect storybook",1
"Put it to your head like, ""Give me what you got""",1
"The way I stepped out the car, that's a flex",0
"He come bother me, I'ma catch me a body",0
"Alright, I'm ready now, ready now",1
"Oh, you ain't been the only one",1
"But he took it literally when I said ""Go to hell""",0
It feel like my life ain't mine (Who can relate? Woo),0
"My grass is greener, girl, without no snakes",1
I hit a ding hard as I'm gonna swing,0
"Doin' it all night, all summer",1
Too close to the bottom,1
"Ha, getting me hot (Getting me hot)",1
"Gotta be real with it, yup",0
Louisville hush money for my young gunners,0
"I don't wanna think about it, I just wanna love you now",1
Ain't got no tears in my body,1
Chop a n**** crew with a machete,0
'Cause I found you,1
I'll never be the same,1
See where this thing goes,1
Unless you leaving hickeys where my d*** be (21),0
"A whole arena full of people to see me at the show, you know?",0
Brains all over my mahogany dashboard,0
"Hold up, if you wanna go and take a ride with me",1
"Four in cars, 'bout five in jewelry",0
"Whole squad got the juice, send a stain like a flute (Ooh)",0
"I ain't no bad person, no",0
"Middle fingers up, put them hands high",1
"Cross me, cross me, if you, if",1
You've gotta stop holding me the way you do,1
How you do that? (Oh),0
"You're second hand smoke, second hand smoke",1
No fifty fifty percent chance,1
My assistant always findin' Percocet and rubber bands,0
Understandin' the time and love and patience that's needed to grow,0
"I came around, I figured out, should follow my gut",0
For every down female that stuck with they dude,0
"Dapper, dapper, I look fine and my checks divine",0
Don't ever play yourself,1
I don't know what I'm doing in New York,1
"'Cause you got no flaws, no flaws",1
We are more than lovers,1
Until a n**** play with me and he get popped (Yeah),0
"But today is my day, it's my day",0
Celebrate with the ones we got here,0
"Tatted on my face, no role model, that's for Kid Bops",0
"I found you, I found you",1
"I'm a hare all on my bike, b****, I bunny hop",0
"Hey, hey, hey, hey",1
"Then she said ""Sak pase"" and I said ""N'ap boule""",1
"Everyone showin' up, where was you in the beginnin'? (in the beginnin')",0
Could even make that Tiffany jealous,1
Told him go put my name on that account,0
Price tags on makin' the world feel some,0
"Let's get ugly, dysfunctional (Let's get ugly, dysfunctional)",1
"When it rains, it pours",0
"Head way down with me, know that she proud of me",0
"Now you're saying, slow it down, not right now",1
"Out with my friend, drinking a drink",1
Share a single bed and tell each other what we dream about,1
Can't do that no more,1
"Nothing, nothing, nothing gonna save us now",1
I'm happy! Leave me alone!,0
So I do my thing,1
"Wanna be YoungBoy, ol' clown a** n****",0
Hold me hard and mellow,1
I like a b**** bougie but keep me a ratchet,0
Walk in the late night,1
Without ever letting you know,1
"Said, ""A hundred thousand,"" so I dropped it all",0
I feel like you different once you make it out the mud,0
Where the racks at? (racks),0
"Like the way she work, ayy",0
"Come and roll with me, we'll rock them body moves",1
"f*** the club up, f*** the club up (b****!)",0
What if I told you that I need you? (Need you),1
Why she do this to herself?,0
"I'm in the hood, they think I'm back trappin' again (Trappin')",0
Cop another bag and smoke today,0
'Cause that's what you gon' call me when I'm trippin' anyway,0
"We love to get high, but we don't know how to come down",1
You could get (Could get) hit (Hit),0
"That I'd make it, so I made it",1
I don't know if I could ever go without,1
And all them n****s wanna know,1
Didn't think you'd fit in my plot,1
"Yeah, to ruin my life, yeah, to ruin my life",1
"We fight and we argue, you'll still love me blind",1
I need somebody who can love me like I love me (Yeah),1
"I had to burn, I left skrt marks, I had to dip",0
"Do your thang, thang, girl, do that thang",1
When you got everything that I want?,1
"Me and you (Oh, just a little bit)",1
All girls wanna be like that,1
'Cause this just don't feel right to me,1
Why does it feel so good? (So ggod),1
Can't let the cheap p**** get too close,0
How deep is your love?,1
Just to eat Louboutins all on her feet (Yeah),0
I get the skirt when I want (skrrt!),0
"The way you lick your lips, yeah, I like that",1
"Man, this s*** darker than a wonton soup, ayy",0
"So, baby, you don't have to rush",1
"Yeah, I believe we can fly now, woo",1
Hit my bop like I'm Lil Kodak,0
I don't really care what comes out my mouth,1
I do what it takes,1
And that wasn't my whole bankroll,0
"You, ohhhh, ayy",0
"Baby, let it go and you gon' miss it",0
"Homie, we get it, we know that you're the greatest rapper alive",0
f*** 'em if they gettin' over,0
And I won't erase it,1
"And it's been two years, I miss my home",1
"I ain't the one, these p**** n****s know I be fiendin'",0
That's how you know you f***ed up,1
"If it ain't 'bout the squad, don't give a f***",0
"You in my way, need to move, b**** (Move b****, huh)",0
I wish that I could say I'm proud,0
When the pain leaves (Huh),0
"Sheck Wes, I ain't a mothaf***in' joke (Haha, hahahahaha)",0
"Lil A beat a body, he fresh out the cage",0
"This ain't forever, baby, just tonight",1
I pray to make it back in one piece,1
No need to call another,1
(You in the middle),1
"Crew sick, we the Golden State of rhyming, on God",0
But don't make me wait until the morning,0
No medicine is strong enough,1
Is you're one dimension,0
Hundred grand'll make your best friends turn to opps,0
"Do anything that you wanna do, wanna do",1
"If you want a feature, give me a grand",0
'Cause you know your b**** want a winner (Winner),0
"Ayo, blast that s***, Maxx",0
"Drivin' expensive foreigns, ayy",0
(I don't wanna be alone),1
"Let it off, set it off",0
Dancing with a stranger,1
"Blatt, blatt, blatt, blatt, blatt",0
"He got mad, so I got drinks",1
"Sticky with the kick, moonrocks in this b****",0
"Tay Keith, f*** these n****s up!",0
"Get your money, Black man (Black man)",0
"But, s***, that wouldn't solve them",1
"Three more hoes, pull up, I'm f***ing s*** (Yeah)",0
"I get the backend, hot like a dragon (Hot, hot)",0
"Every time you left (Left), s*** was never right (Right)",0
"Like (Hell), like hell (Hell)",1
When I close my eyes,1
"Please don't come out your mouth, you know I'm like that",0
It's a spell that can't be broken,1
"You said it, no, you said it",0
"And I'm codeine dreaming, and I'm codeine dreaming)",0
That's how much we have in common (Yah!),0
"Estamos claro' y ya (Y ya, y ya)",1
"This is the real action: the pot party, the trippers, the grasshoppers, the hip ones",0
I hit Johnny Dang and mixed the diamonds with the gold tooth,0
"Maat lago muu, mat laago muu, khate kya guu..",0
What if we said goodbye to safe and sound?,1
They'll be the first one to judge me,0
You were a perfect illusion,1
Still in my bag like the fries at the bottom,0
And we have just learned that police are saying that the Las Vegas shooter killed himself,0
You give me chills and I can't imagine you leaving,1
So we'll piss off the neighbours,1
"Got foreign cars in my driveway, I'm a misfit (Yeah, yeah)",0
All you do is point at what you want (Point it out),0
I am so high I can't land now,0
(Than a boy with) Than a boy with love,1
I'm on the edge with no control,1
"Sometimes, you gotta lose somebody",1
A weathered flag that's by the sea,1
"Now she see me up, she let me f***, want me to cum inside",0
Baby puttin' on for the city,0
We were gonna move to Brooklyn,1
But he know that I keep that trip on me,0
Since you've been gone,1
"I ain't f*** a b**** in so long, I'd do it in a Honda Accord (Woah)",0
I walk in Moncler and buy everyone coats,0
"I dropped the top off the Maybach, 'rrt, f*** these cops ('Rrt, 'rrt)",0
"6'1"", on the money, 9'2""",0
"Oh, oh, like I'm young and alive",1
"And when you got somebody, I don't",1
"f*** that, I'm finna hit back",0
Then when I had fell asleep,0
"Lick a gun barrel, b****, get off me!",0
We don't know how to come down,1
"He like frontin', we knockin' his cap off",0
Still every team's number one pick in the draft,0
Fallin' in love with me,1
"I ain't asked nan' n**** for nothin', I took the harder way (way)",0
"Oops, I got 99 problems singing bye, bye, bye",1
"Late nights in the city, causin' hell",1
I'm always sayin' I won't change but,0
Rather be the hunter than the prey,1
"She a big ol' freak, it's a must that I hit",0
But let me ask you one thing,1
"This time I might not make it, I might not",1
Flawless never had to sin to be my leader,1
"I know I ain't perfect, but you should respect me",1
"I wanna rap, yeah, I know it's hard to believe",0
"When I do, she's defensive for real",0
I keep it thorough,0
You're facin' down a dark hall,1
"The greatest, the greatest alive",1
I can move mountains,1
I got a little drink but it's not Bacardi,0
Been every kinda lost that you can't find,1
"Yeah, we are never, ever going home tonight",1
And you know I do this s*** just for myself,0
I'd rather f*** a b**** from the projects (Yuh),0
"Choppa got the chopper, make 'em do a backflip",0
"I listened to X, I peeped the bars (Yeah)",0
"Red lipstick, black outliner on it",0
Would you rescue me? (Would you rescue me?),1
Send 'em to Lagos or Turks and Caicos,0
Something in the way you move,1
Say you'll never let me go,1
Come on and give me some love tonight,1
Everybody here is watching you,1
"If young Metro don't trust you, I'm gon' shoot you",0
"(Twysted Genius, baby)",0
That she loves nobody else but you,1
"Double G's, baby, hold my jeans, baby, yeah, yeah, yeah",0
Is it too late to tell you that,1
"I throw it up, never hurl, yeah",0
"Your girl's a five, but your mom is a dime piece (Ayy)",0
"That's how you f****** spell ""friends""",1
"Said you'd die for me, you'd die for me, you'd die for me (Die, die, die)",0
"I hold back, sometimes I won't, yuh",0
I just did a show and pulled off laughin' on a hatin' n**** (Hah),0
"If you play, then you lay, we can crash out (Let's go)",0
"Ooh, I think I'm losing my mind now, yeah",1
Can you walk with me?,0
"Pack in the mail, it's gone (Uh)",0
"Spent all night just tryna get closer (I'm lonely, lonely, I)",1
You don't be talking 'bout who f***in' who,0
That's what I do to a hater,0
"Tell me how you really wanna do it right now, time to murder this",0
"Bad b****es only, bad b****es on me (Woo)",0
"Yeah, babe, yeah, babe, yeah, babe",1
"Each and everyone of y'all, if you call a fire engine green",0
How many problems you got? (A lot),0
I got this feeling on a summer day,1
"I'ma take you from this party, we might go and have some sex",0
"Tell me what a time, what a wreck",0
Forget about the obligations,1
I let my guard down and then you pulled the rug,1
"Go ahead, go ahead, go ahead now",1
I'm a dangerous man with some money in my pocket,1
"Now I get paid for a stage, I keep a guitar with me ('Tar with me)",0
The only thing a boy's gonna give a girl for free's captivity,1
(Maybe I'm paranoid),1
"Before that can happen, I let off that fire",0
"And when you get dressed up, you take hours",1
"I am way smarter than you, uh",0
n****s want the juice so they movin' like Bishop,0
"(Oh, oh, oh, oh)",1
That's the reason he tryna say that I'm gay (Ayy),0
"Rotate 'em, all these hoes on shuffle",0
"Couldn't hold on, why? (Keep movin' forward)",0
"Pop up, guess who, b****?",0
It's gonna hurt for a bit of time,1
"Then leave us alone, cause we don't need your policies",1
"Fall in this b****, transfusion with the drip drop",0
"Tribeca, hit the city to show off",1
"My granny 88, she had my uncle and then",0
"I gave you racks, I tried to buy in",0
"Help me, it's like the walls are caving in",1
No good at giving you up,1
Try to open up and love more (Love more),1
(I can't stop the feeling),1
In a minute you can realize you lost it all,1
I got what you need (Oh),0
Lotta n****s get they swag from me,0
"When you don't want me to move, but you tell me to go",1
Everything I'm given now,0
'Cause I know that I am yours and you are mine,1
Did everything but gave up,0
"Come on, let's turn this all around",1
n**** really wanna die in the night time,0
"Drake, Dark Lane Demo Tapes",1
I won't stop 'til I get where you are,1
"Told 'em that we better off friends (Oh, yeah)",0
What are you willing to do?,1
You're not with me,1
"Stubborn as me? Maybe not, but you're close to it",0
"I was bound, and tied",1
Je n'ai pas besoin d'argent,1
If I did not have nothing else to give but love,1
How could I be so naive?,0
Je vais pas m'emparer d'un dollar dans ma poche,1
"Hundred thousand in my mouth like, ""What's happenin'?""",0
And I'll be standin' so close,1
Your bank account has got insufficient funds,1
"No, we ain't ever getting older",1
Live the life of La Familia,0
Stand up until we see the sun,1
You know why these b****es love me? (Why?),0
"All white Gucci suit, I'm feeling righteous",0
"n****, where your KAWS at? (Wow)",0
"You need to let it go, uh",1
I'm a star so I put a neutron on my pinky,0
"f*** on a t*** and not at the spot, don't tell her what car I'm in (No)",0
Take the jet to New York like I'm Jigga (Yoom),0
"s*** could get menacin', frightenin', find help",0
"Go over the diagram and get to the job, man",0
"Well hello, but baby, the kickstand ain't free",1
"I ain't arguin', I'm sayin'",0
I get racks to go outside and I split it with the guys (Outside),0
"'Fore you come outside, I got the M4",0
"Woah, oh oh woah, oh oh woah, oh oh woah",1
Do anything for clout (Anything),0
And now you hooked (now you hooked),1
"Fooled me twice, if I fall for you",1
"Uh, f*** no, this ain't no hookah",0
"Turned up the city, I broke off the notch",0
I'd rather see you leave than tell a lie,1
That I'm at an all time...,1
"She keep my wishes well, I don't need her, well",0
"Gucci pants come out the Gucci store, come with a hem (Hem)",0
"(Yeah, YoungBoy is just rollin', yes, sir)",0
It's to the point where I love and I hate you,0
"Oh, my heart is a ghost town",1
"(Four, skate, four, skate)",0
Guess that's the standard I'm held to,0
These n****s gon' ride the wave (The wave),0
"But we be so smitten, it's crazy",1
I even put it on the first Black President,0
"What the f*** are f***ing feelings, yo?",1
Since a youngin' I've been totin' bangers,0
"Ho, you already know I'm the G.O.A.T. (G.O.A.T.)",0
Round and round your loving winds me up,1
"Seems like the life I need's a little distant, yeah",0
"So if she leaves, I'ma kill her, oh, she'll die",0
PASCAL FINKENAUER,0
Walk up to the door and right before he knock,0
"Drip too hard, don't stand too close",0
Need to quiet 'cause you never tell the truth,0
"I got new rules, I count 'em",1
"It ain't my fault (Nope, nope, nope)",1
"I'll go nuts for you, go cuckoo, lose my cool and all",0
"I been goin' in, all you gotta do is record me",0
But they don't really miss ya,0
No more tryin' make me jealous on your birthday,1
Watermelon sugar high,1
"'Cause you know you can't go leave your gun in the car, d*** (The f***?)",0
You know that I won't stop until I make you mine,1
Don't give a f*** if I go,1
Bring brass knuckles to the scuffle,0
"Mind in the clouds, I will never ever come back home",0
You can't tell me nothin',0
"At the dealer, I can't pull this s*** off the lot",0
"Diddily, diddily, diddily, diddily (Ooh)",1
The house don't fall when the bones are good,1
Solitaries made a rockstar too (Ooh),0
Almost love and you know,1
She wanna leak it,0
"New world, new sky that's so blue it's black too",0
Lil cuzzo spit that flame until it's empty (Yeah),0
I'm with the s*** like I'm Dennis,0
Never coming down with your hand in mine,1
Love move slow (Slow),0
"I don't want the twat, just top, yeah",0
"Gonna love myself, no, I don't need anybody else",1
I can move mountains,1
Known to keep the baddest b****es on commando (Salute),0
"Gotta move smarter, gotta move harder",0
Jas just lined up brand new hand tings and nice guy on a madting,0
"It's like, ooh (Ooh), maybe I should bottle my moves (Moves)",1
"He said ""I got the one for you, follow me""",1
I shut down my life for you,0
Yh these are His only intentions,1
But I feel you watchin' me,1
"Girl, I hope you're sure what you're looking for",1
"Yeah, she's so nasty (Yeah)",0
"Grrr, pow, I'ma skip town, see my wrist drown",0
I send the bread and don't hear back for like two months now,0
Don't f*** with my freedom,1
"I just bought the Maybach, yeah",0
"No, no, no, no, I don't need you (I don't need you)",0
I'm the type to get active and never run (Wunna),0
"We from the Nawf, straight out of the dungeon (We from the Nawf, hey)",0
"Yeah, I loved her too hard, she left me here with this guitar",0
Where the mamis get loose (heh),1
Lonely (Super lonely),1
"Know I run the streets, boy",1
"Tell 'em what they already know, I deserve better",1
"Ran it up, bought a condo, got a new addy (Ran it up)",0
"They say you too piped up, but I think that I love you",0
"If you seek on my son, I won't hide (I won't hide)",0
"Since you've been gone, I've been just okay",0
"Hah, ya know what I'm saying?",0
So wait for me; I swear I'll find you,1
"He don't got a car, he still catchin' the city bus (Hah)",0
"New b**** wanna f*** to my AP (AP, ice)",0
Hugging my Rosary,0
"Burn this b**** into the ground, oh well",1
"You to ruin my life, yeah, to ruin my life, yeah",1
We call on Your blessings,0
Show me you're shameless,1
We would even have to say goodbye,1
"Any night, any day",1
Time flies by in the yellow and green,1
I ain't wanna cap or lie (No),0
Chop it up and the next stop garbage bin,0
Must not be breathing the air that I breathe,0
She give me that top and she sloppin' again (Woah),0
"I know I f***ed up, I'm just a loser",1
She Uber to a n**** with no car,0
Had to f*** it up before I really got to know me,1
You tryna take flight? Do what I say,1
I see n****s in this b****,0
"I'm on some ""f*** a retweet,"" most people is sheep",0
Don't know if you're happy or complaining,1
All our fears would be irrelevant,1
"When you close your eyes, tell me, what are you dreamin'?",1
A model or some kind of bottle,1
"When the roof was on fire, you never let me know",1
King of the kingdom,0
Credit cards and the scammers,1
"Drop my top, now I'm exposin' me (Skrrt, skrrt)",0
"Love you like I would, like I would",1
"Wasted, I'm on these drugs, I feel wasted",0
(Than a boy with) Than a boy with love,1
"I wanna start at the top and the bottom, bae",0
In Gem City we turn the tide,1
Grab your sweetheart and spin out with 'em,1
"700, three high fives, look alive, look alive ('Live)",0
Grab a AK for the wrist,0
"Then I observe, just how you curve",0
And I'm speechless,1
"Peter Pan, Tinker Bell, Wendy Darling",1
I bet you couldn't tell the difference and that girl a gem (A gem),0
"Tears falling, and it's liquor in your cup, all you really want is love",0
'Cause the drinks bring back all the memories,1
Would it kill you to put some pants on?,0
"Where do the good boys go to hide away, hide away?",1
"Five, four, three, two, I let one go",0
"Bottom line, I can't cope",0
No' vamo' pa' tu casa,0
"Shut up, b****, don't give me migraine",0
And I'm waiting for your arms to fall,1
"They talk s***, but I love it every time",1
"For real, breh like I'm kin to you",0
"Benjis in the safe (That's right, ayy)",0
Goin' dumb (Oh),0
"I got sleep eyes, I woke up like this",1
"Playing for keeps, yeah",1
"I was runnin' 'round homie, with 500 thou' on me (H*)",0
"Now watch me ball on these n****s, yeah, yeah",0
"This s*** really a jungle (Godd***), gorillas and anacondas (Godd***, godd***)",0
Treat her better,1
"I made 'em quit they jobs, then I gave 'em to my n****s",0
So we don't gotta go there,1
"They made a movie about you, you're in everybody's top ten",0
"Check me out on your screen, BET, b**** (Yeah)",0
"Ah yeah, yeah, yeah",1
"'Cause I don't care when I'm with my baby, yeah",1
